1 470  nl: -1.52975e+06
2 372  nl: -7.28255e+06
3 588  nl: -1.01779e+07
4 372  nl: -1.4494e+06
5 304  nl: -4.35615e+07
6 187  nl: -3.9949e+06
7 59  nl: -2.42483e+07
8 101  nl: -5.32801e+07
9 392  nl: -2.9908e+07
10 18  nl: -3.75331e+07
11 398  nl: -570000
12 320  nl: -4.08064e+07
13 559  nl: -3.75446e+06
14 38  nl: -2.67369e+07
15 353  nl: -1.48709e+07
16 338  nl: -4.34935e+07
17 167  nl: -1.81752e+07
18 447  nl: -4.5756e+06
19 202  nl: -1.20836e+07
20 146  nl: -1.91956e+07
21 291  nl: -6.6199e+07
22 96  nl: -1.80332e+07
23 412  nl: -2.5468e+07
24 248  nl: -2.58237e+07
25 81  nl: -1.20986e+07
26 228  nl: -6.16242e+06
27 434  nl: -1.59304e+06
28 592  nl: -2.13514e+06
29 268  nl: -6.25222e+07
30 121  nl: -3.42006e+07
31 207  nl: -2.71291e+07
32 121  nl: -3.13271e+07
33 236  nl: -473696
34 227  nl: -1.1018e+07
35 283  nl: -2.23949e+06
36 72  nl: -8.01258e+06
37 144  nl: -1.98309e+07
38 279  nl: -3.53995e+06
39 391  nl: -2.6057e+06
40 296  nl: -8.714e+06
41 315  nl: -151700
42 415  nl: -2.5985e+06
43 176  nl: -7.86853e+06
44 255  nl: -201696
45 358  nl: -4.8117e+06
46 174  nl: -5.52026e+06
47 90  nl: 111622
48 0  nl: 1.62784e+08
49 309  nl: -9.485e+06
50 23  nl: -2.54487e+07
51 398  nl: -570000
52 47  nl: -3.94768e+07
53 451  nl: -4.3824e+06
54 327  nl: -3.6899e+06
